;[u'Glen and Glenda', u'The Marriage Circle', u'Padma Nadir Majhi', u'The Virgin Soldiers', u'The Hours and Times', u'Face/Off', u'Ulysses', u'The Oklahoma Kid', u'Queenie, the Star of Calcutta', u'', u'A Touch of Class', u'Cosi', u"A Hard Day's Night", u'Royal Flash', u'Fabula de la Bella Palomera', u'Stop Train 349', u'RU:', u'The Apple Dumpling Gang Rides Again', u'The Loves of Don Juan', u'Le Grand Blond avec une Chaussure Noire', u'Desperate Remedies', u'Fly Away Home']
Dennis Fimple;[u'TZ:Creature from Black Lake']
James Gleason;[u'Here Comes Mr. Jordan', u'Once Upon A Time', u'Babes on Broadway', u'The Night of the Hunter', u'A Tree Grows in Brooklyn', u'Lady Luck', u'Arsenic and Old Lace', u'The Penguin Pool Murder', u"The Bishop's Wife", u'Tales of Manhattan', u'The Clock']
Jurgen Vogel;[u'Acting It Out']
Dean R. Brooks;[u"One Flew Over the Cuckoo's Nest"]
Diana Sands;[u'Raisin in the Sun', u"Doctor's Wives"]
Scott Colomby;[u"TZ:Porky's", u'Caddyshack', u'Are You in the House Alone?']
Cornelia otis skinner;[u'The Girl in the Red Velvet Swing']
Antonio Banderas;[u'The Mambo Kings', u'Evita', u'The House of Spirits', u'Miami Rhapsody', u'Philadelphia', u'The Mask of Zorro', u'Law of Desire', u'Women on the Verge of A Nervous Breakdown', u'Tie Me Up, Tie Me Down']
Jacques Roux;[u'The List of Adrian Messenger']
Paul Ford;[u'The Spy with a Cold Nose', u'The Music Man']
Hilda Simms;[u'Black Widow']
Peter D. Risch;[u'Something Wicked This Way Comes']
Jack Watling;[u'Under Capricorn', u'The Nanny']
Al Lewis;[u'Munster, Go Home', u'Used Cars']
Shirleu Maclaine;[u'Around the World in 80 Days']
Arlene Arbus;[u'Last Married Couple in America']
Yves Glary;[u'Manon des Sources']
Tala Birell;[u'China']
Denny Miller;[u'Tarzan, The Ape Man']
Ty Hardin;[u'Fire!', u'TZ:Battle of the Bulge', u'PT-109']
Peter Eyre;[u'Hedda']
Ann Jillian;[u'TZ:Death Ride to Osaka', u'TZ:Mr. Mom']
Chris Hunter;[u'Forgotten Prisoners']
Mandi Patinkin;[u'The Music of Chance']
Bert Roach;[u'No No Nanette', u'The Man in the Iron Mask', u'The Crowd', u'Murders in the Rue Morgue', u'Hollywood Boulevard', u'Love Me Tonight']
Opal Bush;[u'Three Days To A Kill']
Mitchell Ryan;[u'Death of a Centerfold: the Dorothy Stratten Story', u'Chandler', u'The Friends of Eddie Coyle', u'Lethal Weapon', u'Medea']
Ann Magnuson;[u'Tequila Sunrise', u'Desperately Seeking Susan', u'Making Mr. Right', u'From the Earth to the Moon']
James Mitchum;[u'Thunder Road']
Richard Newton;[u'Blackbeard the Pirate']
Christian Slater;[u'Jimmy Hollywood', u'Tucker, the Man and his Dream', u'Ferngully, The Last Rainforest', u'Young Guns II', u'Broken Arrow', u'The Name of the Rose', u'Robin Hood: Prince of Thieves', u'Mobsters', u'Heathers', u'Very Bad Things', u'Untamed Heart', u'True Romance', u'Bed of Roses']
Sino"el;[u'Voyage Suprise']
Sandra Gould;[u'Imitation of Life']
Edmund Purdom;[u'TZ:Rulers of the City', u'The Student Prince', u'The Beauty Jungle']
Emile Minty;[u'TZ:The Road Warrior']
Peggy Shannon;[u'The Deluge']
Steve  Markin;[u'Lock, Stock, and Two Smoking Barrel']
Frank Military;[u'Everybody Wins']
Sylvia Williams;[u'Obsession']
Jack Crain;[u'The Man Without a Star']
Dorothy Stickney;[u'I Never Sang for my Father', u'The Uninvited']
Kate McKenzie;[u'The Singing Detective']
Nicole Beringer;[u'The Story of a Three Day Pass']
Lou Reed;[u'Superstar "The Life and Times of Andy Warhol"', u'TZ:One Trick Pony']
Bessie Smith;[u'St. Louis Blues']
Linda Hayden;[u'Old Dracula', u'Vampira', u'Madhouse']
Joe Pyne;[u'The Love-Ins']
Tommy Davidson;[u'Strictly Business']
Ursula Andress;[u"What's New Pussycat?", u'Clash of the Titans', u'Scaramouche', u'The Blue Max', u'Casino Royale', u'Fifth Musketeer', u'Cremaster 5', u'She', u'Dr. No', u'Liberty, Equality, Sauerkraut']
Karin Schubert;[u'Bluebeard', u'Black Emanuelle']
Bette Midler;[u'That Old Feeling', u'Jinxed', u'Gypsy', u'First Wives Club', u'The Kidnapping of Mrs. Stone', u'When Twins are Interchanged', u'Hocus Pocus', u'The Rose', u'For the Boys', u'Down and Out in Beverly Hills', u'Scenes from a Mall']
Esme Chaplin;[u'Murder!']
Steven Seagal;[u'The Glimmerman', u'On Deadly Ground']
David Thewlis;[u'The Island of Dr.Moreau', u'Life is Sweet']
Juan Jose Gurrola;[u'Frida: Naturaleza Vida']
Tony Goldwyn;[u'Traces of Red', u'Last Tattoo', u'Ghost', u'From the Earth to the Moon']
Jordi Molla;[u'Jam\xf3n, Jam\xf3n']
Jodi Long;[u'Striking Distance']
Kyle.T.;[u'The Beautician and the Beast']
Barbara Leigh;[u'Mistress of the Apes']
Mark Dignam;[u'Hamlet']
Rod Cameron;[u'TZ:Evel Knievel', u'The Jungle']
Noel Harrison;[u'Deja Vu']
Margaret Sullavan;[u'Next Time We Love', u'The Shop around the Corner', u'Three Comrades', u'The Shopworn Angel', u'Back Street']
Kevin Nealon;[u'All I want for Christmas']
Bong Crosby;[u'The Big Broadcast of 1936']
Susan Clark;[u'Tell Them Willie Boy is Here', u'Night Moves', u'TZ:North Avenue Irregulars', u'Murder by Decree', u"TZ:Porky's", u'Amelia Earhart', u'Airport 75', u'TZ:Promises in the Dark', u'TZ:Apple Dumpling Gang', u"TZ:Nobody's Perfekt", u'The Skin Game', u'The Midnight Man']
Catherine Bach;[u'Hustle']
Anne Heywood;[u'The Fox']
Rosemary Leach;[u"That'll be the Day", u'Room with A View']
Christopher Jackson;[u"National Lampoon's Vacation"]
Rod Gist;[u'The Lady in Red']
Garcelle Beauvais;[u'Coming to America']
Gaston Batyi;[u'A Place in the World']
Don Knotts;[u'The Shakiest Gun in the West', u'Pleasantville', u'TZ:Apple Dumpling Gang', u'TZ:Hot Lead and Cold Feet', u'Gus', u'Herbie Goes to Monte Carlo', u'The Apple Dumpling Gang Rides Again']
Whitman Mayo;[u'The Main Event', u'TZ:D.C. Cab']
William Fairbanks;[u'Spoilers of the West', u'Wyoming']
Rider Strong;[u'Benefit of the Doubt', u'My Giant']
Dennis Wyndham;[u'Juno And The Paycock', u'Oh Mr. Porter']
William Styron;[u'Naked in New York']
Glen Tryon;[u'Variety Girl']
Kathie Browne;[u'Wally the Beard']
Maria Tallchief;[u'Million Dollar Mermaid']
Rosalie Crutchley;[u'Sons and Lovers', u'Quo Vadis', u'Wuthering Heights']
Jeanette MacDonald;[u'The Love Parade', u'Monte Carlo', u'One Hour With You', u'The Merry Widow', u'Love Me Tonight', u'The Sun Comes Up', u'The Firefly', u'The Girl of the Golden West', u'Naughty Marietta', u'San Francisco', u'Sweethearts', u'Bitter Sweet', u'Cairo']
Brandon Lee;[u'The Crow']
Alfonso Bedoya;[u'The Treasure of the Sierra Madre']
Mark Hammil;[u'Black Magic Woman']
Tyrone Power jr.;[u'Cocoon']
Sydney Fairbrother;[u"King Solomon's Mines", u'Chu Chin Chow']
Udo Kier;[u'Suspira', u"Andy Warhols's Dracula"]
Yale Benner;[u"The Corporal's Daughter"]
Suzy Delair;[u'Quai des Orf\xe8vres', u"L'Assassin habite au 21", u'Jenny Lamour', u'Pattes Blanches', u'Rocco and His Brothers']
Robert Forster;[u'Medium Cool', u'Reflections in a Golden Eye', u'Rear Window', u'Delta Force', u'Jackie Brown', u'Vigilante']
Ella Raines;[u'Tall in the Saddle', u'The Senator was Indiscreet', u'Brute Force', u'Hail the Conquering Hero', u'Phantom Lady']
Claire Nebout;[u'Scene of the Crime', u'The Conviction']
Scott Weinger;[u'Aladdin']
Tony Todd;[u'Candyman']
Tala Birnell;[u'Bringing Up Baby']
Agnes deMille;[u'The Ragamuffin']
Paul Schulze;[u'Handgun']
Rusty Condieff;[u'Fear of a Black Hat']
Jim True;[u'Singles']
Bertil Guve;[u'Fanny and Alexander']
David Knell;[u'Spring Break']
Ilona Massey;[u'Love Happy']
Joshua Shalikar;[u'Honey, I Blew Up the Kid']
Scott Sunderland;[u'Pygmalion']
Jennifer Aniston;[u"She's the One", u'Picture Perfect', u'The Object of My Affection']
Caroleen Feeney;[u'Bad Manners']
Valeria Cavelli;[u'De terre et de sang']
Colette Hiller;[u'Aliens']
Molly Shannon;[u'Never Been Kissed']
Simpson Perez;[u'Swept from the Sea']
Angela Clarke;[u'Houdini']
Hume Cronyn;[u'TZ:The Parallax View', u'TZ:Rollover', u'Pelican Brief', u'Batteries Not Included', u'The Phantom of the Opera', u'Camilla', u"Doll's House", u'Shadow of a Doubt', u'Lifeboat', u'Honky Tonk Freeway', u'Brute Force', u'Cleopatra', u"Marvin's Room", u'The Beginning or the End', u'Cocoon', u'The Postman Always Ring Twice', u'Sunrise at Campobello', u'Ziegfeld Follies']
Martin Landau;[u'Mistress', u'Tucker, the Man and his Dream', u'Extraterrestrial Terror', u'TZ:They Call Me Mr. Tibbs', u'The Gazebo', u'North by Northwest', u'City Hall', u'Rounders', u'Cleopatra', u'TZ:Alone in the Dark', u'Second Verdict', u'Intersection', u'Sliver', u'The Last Word', u'EDtv', u'Meteor', u'TZ:A Town Called Hell', u'Paint it Black', u'Ed Wood', u'Crimes and Misdemeanors']
Stephen Tobolowsky;[u'Mississippi Burning', u'Single White Female', u'Groundhog Day', u'Memoirs of an Invisible Man', u'The Grifters', u'Hero']
Ian McKellen;[u'Gods and Monsters', u'Apt Pupil', u'Plenty', u'Six Degrees of Separation', u'Last Action Hero', u'Scandal', u'The Ballad of Little Jo', u'The Shadow', u'and the Band Played On', u'Jack and Sarah']
Merna Kennedy;[u'Circus']
Brooks Benedict;[u'What Price Hollywood', u'Street of Chance']
Fred Malatesta;[u'Forbidden Paradise']
Oliver Johnson;[u'The Tomb of Ligeia']
Tatum ONeil;[u'The Bad News Bears']
Julie Strain;[u'Double Impact']
Joanna Going;[u'Inventing the Abbotts']
Ruth Donelly;[u'This is The Army', u'My Little Chickadee', u'Mr. Smith goes to Washington', u'Footlight Parade', u'A Slight Case of Murder', u"The Bells of St. Mary's", u'Thirteen Hours by Air']
Asia Viera;[u'The Good Mother']
Ian McKeller;[u'The Keep']
Seymour Cassel;[u'Tin Men', u'Faces', u'The Killing of a Chinese Bookie', u'Boiling Point', u'Handgun']
Sihung Lung;[u'Pushing Heads']
Maurizion Mein;[u'Intervista']
Paul Porcasi;[u'Charlie Chan in Egypt', u'The Gay Divorcee', u'Flying Down to Rio']
Randy Sparks;[u'Thunder Road']
Alan Coeberge;[u'Twelfth Night']
Julie London;[u"The Girl Can't Help It"]
Feodor Atkins;[u'Le Beau Marriage']
Steven Tobolowsky;[u'Thelma and Louise']
Stella Maris;[u'Truly, Madly, Deeply']
Dick ONeil;[u'The Buddy Holly Story']
Kyle MacLachlan;[u'Blue Velvet', u'Twin Peaks', u'The Trial', u'The Doors', u'Showgirls']
Edie Murphy;[u'Harlem Nights']
Christopher Neame;[u'Dracula A.D. 1972', u'D.O.A.']
Howard Hill;[u'The Adventures of Robin Hood']
Bernie Kopell;[u'When Things were Rotten']
Leelee Sobieskie;[u"A Soldier's Daughter Never Dies"]
Rochelle Davis;[u'The Crow']
Arliss Howard;[u'Wet', u'CrissCross', u"Men Don't Leave", u'Tequila Sunrise']
Peter Jason;[u'Alien Nation']
Feodor Atkine;[u'Sarraounia', u'High Heels']
James Mason;[u'Captive Audience', u'Pandora and the Flying Dutchman', u"Blind Man's Bluff", u'The Fall of the Roman Empire', u'Murder by Decree', u'Odd Man Out', u"TZ:Bad Man's River", u'TZ:The Kidnap Syndicate', u'The Boys from Brazil', u'A Star is Born', u'North by Northwest', u'TZ:The Last of Sheila', u'Journey to the Center of the Earth', u'TZ:The Desert Fox', u'The Blue Max', u'The Cicero Affair', u'The Man in Grey', u'Wicked Lady', u'TZ:Yellowbeard', u'East Side West Side', u'Caught', u'The Reckless Moment', u'TZ:A Dangerous Summer', u'Lord Jim', u'Twenty Thousand Leagues Under the Sea', u'TZ:Mandingo', u'The Prisoner of Zenda', u'TZ:Cross of Iron', u'TZ:The Verdict', u'Georgy Girl', u'Voyage of the Damned', u'Lolita', u'Bloodline', u'Madame Bovary', u'Heaven Can Wait']
Bill Finley;[u'Sisters']
Claude Allester;[u'Platinum Blonde']
Cate Blanchett;[u'Oscar and Lucinda', u'Elizabeth', u'An Ideal Husband']
Frankie Darro;[u"Ten O'clock Tiger", u'Long Pants', u'Three on A Match']
Lennox Pawle;[u'David Copperfield', u'Sylvia Scarlett']
Oliver Hardy;[u'Putting Pants on Philip', u'The Flying Deuces', u'A Chump at Oxford', u'The Battle of the Century', u'Hollywood Revue', u"The Devil's Brother", u'Blockheads', u'Hog Wild', u'Blotto', u'Helpmates', u'The Music Box', u'County Hospital', u'A Fine Mess', u'Big Business', u'Laughing Gravy', u'Beau Hunks', u'Bonnie Scotland', u'Way Out West', u'Dirty Work', u'Hollywood Party', u'Nothing But Trouble', u'Sons of the Desert']
Noel Drayton;[u'The Schartz-Metterklume Method']
Elias Monteiro daSilva;[u'At Play in the Field of the Lord', u'Medicine Man']
Marcie Barkin;[u'TZ:Chesty Anderson, U.S. Navy']
Mona Rico;[u'The Devil with Women']
Tsutomu Yamazaki;[u'Rikyu', u'The Funeral', u'Tampopo', u'A Taxing Woman']
Ernesto Vaser;[u'Tigre Reale']
Norman Bassington;[u"A Hard Day's Night"]
Freddie Steele;[u'A Foreign Affair', u'Hail the Conquering Hero']
John Cording;[u'Ransom']
Jesse Mae Hemphill;[u'Deep Blues']
Debra Feuer;[u'To Live and Die in LA']
Sonic Youth;[u'1991: The Year Punk Broke']
Kate nelligan;[u'Romantic Englishwoman']
Dominque Blanc;[u'May Fools']
Edward Furlong;[u'Before and After', u'Brainscan', u'American Heart', u'A Home of Our Own', u'American History X']
Soren Ostegarg;[u'Pain of Love']
JeanPierre Aumant;[u'Lili']
Leonard Carey;[u'Rebecca']
Linda Dona;[u'Future Kick']
Stephen Caffrey;[u'Longtime Companion']
Vikram Gokhale;[u"Let's Get Romantic"]
Vincent VanPatten;[u"TZ:Rock 'N Roll High School", u'TZ:Hell Night']
Jules Dedjko;[u'Le Double Vie de Veronique']
Graham Greene;[u'Camilla', u'Benefit of the Doubt', u'Dances with Wolves', u'Thunderheart', u'Shattered Image', u'Maverick']
Tony Cox;[u'Beetlejuice']
Phil Bruns;[u'Harry and Tonto']
Paula Moore;[u'Une Partie de Plaisir']
Tex Driscoll;[u'The Virginian']
Phil Browne;[u'The Bedford Incident']
Paul Hurst;[u"The Sky's the Limit", u'The Secret Six', u'In Old Chicago', u"Alexander's Ragtime Band", u'Public Hero Number One', u'The Phantom President', u'Sphinx', u'They Drive by Night', u'Coney Island', u'The Westerner']
Artthur Kennedy;[u'High Sierra']
Charlotte Mitchell;[u"The French Luitenant's Woman"]
Ryan ONeal;[u'TZ:So Fine', u'The Thief Who Came to Dinner', u'Irreconcilable Differences', u'TZ:Green Ice', u'The Main Event', u"Tough Guys Don't Dance", u"What's Up, Doc?", u'Paper Moon', u'Nickelodeon', u'Ma Femme Me Tue', u'Faithful', u'A Bridge Too Far', u'Barry Lyndon', u'The Driver']
Shawn Thompson;[u'Hairspray']
Kyra Schon;[u'The Night of The Living Dead']
Veronica Quilligan;[u'Halfmoon', u'Lisztomania', u'Angel']
Maia Morgenstern;[u'The Oak']
Daniel Schlachet;[u'Swoon']
Jean Hagen;[u'Shaggy Dog', u"Adam's Rib", u"Singin' in the Rain", u'The Asphalt Jungle', u'Enough Rope for Two', u'The Big Knife', u'The Shaggy Dog', u'Sunrise at Campobello', u'Shadow in the Sky']
Robert Cook;[u'Othello']
Tim McKenzie;[u'Gallipoli']
Bruce Cowling;[u'The Painted Hills', u'Stratton Story']
Brithe Neumann;[u'The Celebration']
James Ellison;[u"Charley's Aunt", u"The Gang's All Here", u'Play Girl', u'Vivacious Lady', u'Accused, sit down', u"Mother Carey's Chickens"]
Franchot Tone;[u'Dark Waters', u'Dangerous', u'Five Graves to Cairo', u'Sadie McKee', u'The Gorgeous Hussy', u'Every Girl Should Be Married', u'Three Comrades', u'Mutiny on the Bounty', u'Jigsaw', u'Suzy', u'Today We Live', u'Lives of a Bengal Lancer', u'Final Performance', u'Phantom Lady', u'Three Loves has Nancy', u'Dancing Lady', u'The King Steps Out', u'Moulin Rouge', u'Bombshell', u'Reckless', u'Love on the Run']
Robert Elliott;[u'The Roaring Twenties', u'The Maltese Falcon', u'Trade Winds']
Gottfied John;[u'Asterix & Obelisk']
Richard Losey;[u'The Cannonball Run']
Dana Delany;[u'Batman, Mask of The Phantasm']
Whitney Bourne;[u'Crime Without Passion', u'The Mad Miss Minton']
Daniel Ceccaldi;[u'La peau douce', u'Domicile Conjugal', u'Ca va faire mal']
Pat Crowley;[u'TZ:A Family Upside Down', u'Money From Home']
Ian Cochran;[u'Bolero']
Karen Morley;[u'The Mask of Fu Manchu', u'The Littlest Rebel', u'Dinner at Eight', u'Mata Hari', u'Jealousy', u'Beloved Enemy', u'Scarface', u'M', u'The Last Train from Madrid', u'The Phantom of Crestwood', u'Pride and Prejudice', u'Our Daily Bread']
Frankie J. Holden;[u'Proof']
Jean Lanier;[u'Last Year at Marienbad', u'La peau douce']
Donna Loren;[u'Pajama Party', u'Muscle Beach Party', u'Bikini Beach']
Clarence Muse;[u'The Lost Weekend', u'Shadow of a Doubt', u'Show Boat', u'Flying Down to Rio']
Whilt Bissell;[u'The Defiant Ones']
Colin Gordon;[u'Very Important Person', u'The One that got Away']
Charles Heslop;[u'A Pair of Briefs']
Teresa Wright;[u'The Men', u'Shadow of a Doubt', u'Lonely Place', u'The Good Mother', u'Casanova Brown', u'The Little Foxes', u'The Best Years of our Lives']
Maureen Stapleton;[u'The Last Good Time', u'TZ:The Fan', u"Truman Capote's Trilogy", u'Airport', u'TZ:Bye Bye Birdie', u'Lost and Found', u'Heartburn', u'Nuts', u'Cocoon', u'A View from the Bridge', u'Trading Mom', u'Lonelyhearts', u'Interiors', u'Reds']
Ned Sparks;[u'Lady For a Day', u"George White's 1935 Scandals", u'Imitation of Life', u'Big City Blues', u'Gold Diggers of 1933', u'Alice in Wonderland', u'Wake Up and Live']
Jorge Perrugorria;[u'Strawberry and Chocolate']
Roy Gordon;[u'Attack of the 50-foot Woman']
Wu Xiao Tong;[u'Ai Ni Tsuite, Tokyo']
Douglass Watson;[u'TZ:Trial of the Catonsville 9']
Mady Berry;[u'Le Puritain']
Ruth Roman;[u'Strangers on a Train', u'Blowing Wild', u'What Really Happened', u'Beyond the Forest', u'Barricade', u'TZ:The Baby', u'The Window', u'Day of the Animals']
Jean Yanne;[u'Le Boucher', u'Erotissimo', u'Etes-vous fiancee a un marin grec ou a un pilote de ligne?', u'Indochine']
Lela Mourad;[u'Romeo and Juliet']
Agnes Ayres;[u'The Affairs of Anatol', u'Maid of Salem', u'Son of The Sheik', u'The Sheik']
Mathias wieman;[u'Fear']
Jason James Richter;[u'Free Willy', u'Free Willy II', u'Free Willy III: The Rescue']
Ann Dvorak;[u'Hollywood Revue', u'Blind Alley', u'Scarface', u'Three on A Match', u'Three on a Match', u'The Way to Love', u'The Guardsman', u'College Coach']
Charley Grapwin;[u'Three Comrades', u'Three Loves has Nancy', u'The Good Earth', u'Small Town Girl']
Normand Fateux;[u'Zero Patience']
Hobart Bosworth;[u'Carnival Boat', u'A Woman of Affairs', u'Just Imagine']
Richard Hearne;[u'Helter Skelter']
Dana Barron;[u"National Lampoon's Vacation"]
Louie Anderson;[u'Coming to America']
Earl Wilson;[u'College Confidential', u'Beach Blanket Bingo']
Alan Hale jr;[u'North Avenue Irregulars', u'A Man Alone']
Carl Goodner;[u'Mimi']
Fay Harrison;[u'The 2,000,000 Dollar Defense']
Ben Stiller;[u'Reality Bites', u'Flirting with Disaster', u'If Lucy Fell', u'Your Friends and Neighbors', u"There's Something About Mary", u'Heavyweights', u'Permanent Midnight']
Sinead OConnor;[u'The Butcher Boy']
Caroline Neher;[u'Dreigroschenoper']
Richard Widmark;[u'Death of a Gunfighter', u'Broken Lance', u'Alvarez Kelly', u'Panic in the Streets', u'Kiss of Death', u'How the West Was Won', u'The Final Option', u'Cheyenne Autumn', u'TZ:The Swarm', u'The Bedford Incident', u'Night and the City', u'Rollercoaster', u'No Way Out', u'The Alamo', u'Coma', u'TZ:To the Devil...A Daughter', u"TZ:Twilight's Last Gleaming", u"I'll Never Forget You", u"Don't Bother to Knock", u'Judgement at Nuremberg', u'The Domino Principle', u'Murder on the Orient Express', u'Hanky Panky', u'Against All Odds']
Daisy Earles;[u'Freaks']
Hlomers Herbert;[u'The Kiss']
Napoleon Whiting;[u'The Big Switch']
Sanna Vraa;[u'Flatliners']
Lionel Royce;[u'The Son of Monte Christo', u'My Favourite Blonde']
Martha Becket;[u'Motel']
Norman Trevor;[u'Roulette']
Wanda Hawley;[u'The Affairs of Anatol']
Gabriella Licudi;[u'The Last Safari', u'Soft Beds, Hard Battles', u'The Jokers']
Julie Walters;[u'Educating Rita', u'Personal Services', u'The Summer House']
John Drew Barrymore jr.;[u'High School Confidential!']
James Dickey;[u'Deliverance']
James rennie;[u'The Girl of the Golden West']
Eva Henning;[u'Elvira Madigan']
Dagmar Veskrnova;[u'The Inheritance']
Kelly Bishop;[u'Dirty Dancing']
Fred Clark;[u'Sunset Boulevard', u'A Place in The Sun', u'Alias Nick Beal', u'How to Marry a Millionaire', u'Daddy Longlegs', u'Auntie Mame', u'Living it Up', u'The Fuzzy Pink Nightgown', u'How to Be Very Very Popular', u'Miracle in the Rain', u'Solid Gold Cadillac']
John Shepperd;[u'The Loves of Edgar Allen Poe']
Helena Rojo;[u'Aguirre, the Wrath of God']
Carol Lindley;[u'Flood!']
June Ludehart;[u'C.H.U.D. II, Bud the Chud']
Carole White;[u'Poor Cow']
Mink Stole;[u'Multiple Maniacs', u'TZ:Pink Flamingos', u'Female Trouble', u'Hairspray', u'Serial Mom']
Placido Domingo;[u'Carmen', u'Otello']
Mary Jane Higby;[u'The Honeymoon Killers']
Nova Pilbeam;[u'The Man Who Knew too Much', u'Young and Innocent', u'Tudor Rose']
Nelly Benedetti;[u'La peau douce']
Assumpta Serra;[u'Horas Dulces']
Felice Schacter;[u'TZ:Zapped']
Eric Bransby Williams;[u'Easy Virtue']
N. Ottering;[u'TZ:Burning Secret']
Michael Kahn;[u'Vicious Circle']
Maud Eburne;[u'Ruggles of Red Gap']
Asta;[u'Bringing Up Baby', u'The Awful Truth', u'Topper Takes a Trip', u'The Thin Man Goes Home', u'The Song of the Thin Man', u'The Thin Man', u'After The Thin Man', u'Another Thin Man', u'Shadow of the Thin Man']
Patricia Colinge;[u'Casanova Brown']
Ellen Hamilton Latzen;[u'Fatal Attraction']
Joey Walsh;[u'Hans Christian Andersen']
Bill Wallis;[u'War and Remembrance']
Don Simpson;[u'The Big Bang']
Elisabeth Risdon;[u'Blonde Fever']
Marguerite Gance;[u'The Fall of the House of Usher']
Henderson Forsythe;[u'TZ:Crisis at Central High']
Mike Mitchell;[u'Final Round']
John Ericson;[u'Under Ten Flags', u'Bad Day at Black Rock', u'The Student Prince']
Elizabeth Risdon;[u'The Roaring Twenties', u'Higher and Higher']
Mark Harmon;[u'Summer School', u'Shadow of a Doubt', u'Wyatt Earp', u'Presidio', u'From the Earth to the Moon']
Maureen OHara;[u'Only the Lonely', u'Our Man in Havana', u'Dance Girl Dance', u'The Parent Trap', u'Miracle on 34th Street', u'Jamaica Inn', u'The Black Swan', u'Mr. Hobbs Takes a Vacation', u'How Green Was my Valley', u'The Quiet Man', u'A Bill of Divorcement', u'This Land is Mine', u'Sinbad the Sailor', u'Buffalo Bill', u'The Hunchback of Notre Dame']
Carole Lombard;[u'From Hell to Heaven', u'To Be or Not To Be', u'They Knew What They Wanted', u'My Man Godfrey', u'Vigil in the Night', u'Mr. and Mrs. Smith', u'Twentieth Century', u'Now and Forever', u'Hands Across the Table', u'White Woman', u'Nothing Sacred', u'The Princess Comes Across', u'No Man of her Own', u'Bolero', u'True Confessions']
May McAvoy;[u'The Jazz Singer', u"Lady Windermere's Fan", u'Ben Hur']
Patti Hansen;[u'TZ:Hard to Hold', u'They All Laughed']
William Bebdix;[u"A Connecticut Yankee in King Arthur's Court"]
Marcel Journet;[u'Letter From an Unknown Woman']
Abraham Sofaer;[u'Beyond the Sea of Death', u'The Naked Jungle', u'Christopher Columbus', u'Quo Vadis', u'A Matter of Life and Death', u'Elephant Walk']
Alberto Soldi;[u'I Vitelloni']
Leon Errol;[u'Mexican Spitfire', u'Alice in Wonderland', u"We're Not Dressing", u'Higher and Higher', u'Her Majesty Love']
Russell Crowe;[u'Romper Stomper', u'Proof', u'The Sum of Us']
Mate;[u"Eh' die Fledermaus ihren Flug Beendet"]
John Lurie;[u'Stranger Than Paradise']
Tyler Brooke;[u'Monte Carlo', u'Trouble in Paradise', u'Love Me Tonight']
Beatrix Lehman;[u'The Spy Who Came in from the Cold', u'The Cat and the Canary']
David Markham;[u'La Nuit Americaine']
Cedric Hardwick;[u'TZ:The Desert Fox', u'Five Weeks in a Ballon']
Paul Calderon;[u'Q and A']
Real Andrews;[u'Final Round']
Gunter Lamprecht;[u'The Harmonists']
Frank Baker;[u'The New Adventures of Tarzan', u'Tarzan and the Green Goddess']
Ted deCorsica;[u'The Enforcer', u'The Joker is Wild', u"Neptune's Daughter", u'The Lady From Shanghai', u'Dead Weight', u'The Killing']
Dale Fuller;[u'Greed']
Richard Benjamin;[u'TZ:First Family', u"TZ:Portnoy's Complaint", u'Diary of a Mad Housewife', u'Last Married Couple in America', u'TZ:The Last of Sheila', u'The Sunshine Boys', u'TZ:House Calls', u'Goodbye, Columbus', u'Marriage of A young Stockbroker', u'Catch 22', u'Love at First Bite', u'Deconstructing Harry']
George Dzunda;[u'Honky Tonk Freeway', u'The Deer Hunter', u'Basic Instinct', u'TZ:Streamers', u'No Way Out', u'Impulse', u"The Butcher's Wife"]
Maxine Woods;[u'The Plot Against Harry']
Jeremy Northam;[u'Mimic', u'The Net']
Toni Romano;[u'Combat America']
Liesel Mathews;[u'The Little Princess']
Debbie Turner;[u'The Sound of Music']
Aldo Puglisi;[u'Seduced and Abandoned']
Joseph Keaton;[u'Sherlock jr.']
Carl Goetz;[u'Scampolo']
Paul L. Smith;[u'Desert Kickboxer']
Roger Clinton;[u"National Lampoon's Last Resort"]
Jack Peral;[u'Hollywood Party']
Deborah VanValkenburgh;[u'The Warriors']
Erc Bye;[u'Monte Carlo']
John Hawkins;[u'Meatballs part III']
Duncan Lamont;[u'The Golden Coach', u'The Thirty-nine Steps', u'Quatermass and the Pit', u'Frankenstein Created Woman']
Elis Presley;[u'TZ:This is Elvis']
SarahJane Farley;[u'Mister Quilp']
Ian Redford;[u'Antonia and Jane']
Udo Kerr;[u'Verleitung, Die Grausame Frau']
Sigrid Holmquist;[u'The Light That Failed']
Vivica A. Fox;[u'Soul Food']
Jean Miljan;[u'The Way to Love']
Brenda Swanon;[u'Skin Deep']
Adolph Zukor;[u'Glorifying the American Girl']
Gordon McRae;[u'Tea for Two', u"The Daughter of Rosie O'Grady"]
Jonathan Banks;[u'Freejack', u'Boiling Point']
Robert Faurisson;[u'Mr. Death']
Eve Marie Saint;[u'North by Northwest', u'Exodus']
Guy Kibbe;[u"There's One Born Every Minute"]
Kelly Reno;[u'TZ:Black Stallion', u'TZ:The Black Stallion Returns']
Maury Amsrdam;[u'Machine Gun Kelly']
Karen Meagher;[u'Experience Preferred...But Not Essential']
Samuel Fuller;[u'Pierrot le Fou', u'Hammett']
Beatrice Varley;[u'Kipps']
